contract_address,decimals,name,token_symbol,total_supply
0x9a13867048e01c663ce8ce2fe0cdae69ff9f35e3,18,SushiSwap LP Token,SLP,6043431985
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,Wrapped BTC,WBTC,12881495633878
0x798d1be841a82a273720ce31c822c61a67a601c3,9,Digg,DIGG,573926523410
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,18,SushiSwap LP Token,SLP,13028751963079991
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,USD Coin,USDC,39932039950301665
0xf55c33d94150d93c2cfb833bcca30be388b14964,18,SushiSwap LP Token,SLP,10353019565700476723805
0xa1faa113cbe53436df28ff0aee54275c13b40975,18,AlphaToken,ALPHA,1000000000000000000000000000
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Wrapped Ether,WETH,2763840260437977176130813
0xa1d7b2d891e3a1f9ef4bbc5be20630c2feb1c470,18,SushiSwap LP Token,SLP,366759204060139897754
0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18,Synthetix Network Token,SNX,339889850088773602815691648
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,18,SushiToken,SUSHI,282434964393562845010395247
