address_from,address_to,block_number,gas,gas_used,input,output,timestamp,trace_id,trace_type,transaction_hash,value
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13653007,167549,5031,0x70a08231000000000000000000000000cb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0x000000000000000000000000000000000000000000000000000000175011ef96,-1,1_0,STATICCALL,0x94beaa5113b61e99677ec4039928c52b406a021e2b8845e32f4461ca29739665,-1
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13653007,160533,37601,0xa9059cbb000000000000000000000000c6a775b8faa3b91fae2294a41f997e0bfe519bfc0000000000000000000000000000000000000000000000000000000004a32240,,-1,1_1,CALL,0x94beaa5113b61e99677ec4039928c52b406a021e2b8845e32f4461ca29739665,0
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13652256,76263,5031,0x70a0823100000000000000000000000047a11b9b6eb71f047d797e44e6ba508eba9f2e16,0x0000000000000000000000000000000000000000000000000000000714840e72,-1,1_0,STATICCALL,0x97681e7949557faa35caacbee7105ca4a749e8a838f9d30caa2a39a521125b4a,-1
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13652256,70137,3356,0xdd62ed3e00000000000000000000000047a11b9b6eb71f047d797e44e6ba508eba9f2e16000000000000000000000000cb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,-1,1_1,STATICCALL,0x97681e7949557faa35caacbee7105ca4a749e8a838f9d30caa2a39a521125b4a,-1
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13652256,65955,2484,0x313ce567,0x0000000000000000000000000000000000000000000000000000000000000006,-1,1_2,STATICCALL,0x97681e7949557faa35caacbee7105ca4a749e8a838f9d30caa2a39a521125b4a,-1
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13652256,22763,20530,0x23b872dd00000000000000000000000047a11b9b6eb71f047d797e44e6ba508eba9f2e16000000000000000000000000cb6afdc84e8949ddf49ab00b5b351a5b0f65a7230000000000000000000000000000000000000000000000000000000714840e72,,-1,1_3,CALL,0x97681e7949557faa35caacbee7105ca4a749e8a838f9d30caa2a39a521125b4a,0
0xd02c260f54997146c9028b2ac7144b11ce4c20a6,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,360300,26953,0x095ea7b3000000000000000000000000cb6afdc84e8949ddf49ab00b5b351a5b0f65a723ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,-1,1_0,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0xd02c260f54997146c9028b2ac7144b11ce4c20a6,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,13653150,330720,225602,0x022c0d9f0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000bebc200000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000001c0cb6afdc84e8949ddf49ab00b5b351a5b0f65a723000000446e553f650000000000000000000000000000000000000000000000000000000005f5e100000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6cb6afdc84e8949ddf49ab00b5b351a5b0f65a723000000047e1c0c09cb6afdc84e8949ddf49ab00b5b351a5b0f65a723000000646f1a366d000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a60000000000000000000000000000000000000000000000000000000005f5e1000000000000000000000000000000000000000000000000000000b72c986fee1ccb6afdc84e8949ddf49ab00b5b351a5b0f65a7230000004400f714ce0000000000000000000000000000000000000000000000056bbf2e57c9166fdc000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6dac17f958d2ee523a2206206994597c13d831ec700000044a9059cbb0000000000000000000000000d4a11d5eeaac28ec3f61d100daf4d40471f1852000000000000000000000000000000000000000000000000000000000bf4f19000000000000000000000000000000000000001ac,,-1,1_1,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,312849,39601,0xa9059cbb000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6000000000000000000000000000000000000000000000000000000000bebc200,,-1,2_0,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xd02c260f54997146c9028b2ac7144b11ce4c20a6,13653150,273112,146093,0x10d1e85c000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000bebc200000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000001c0cb6afdc84e8949ddf49ab00b5b351a5b0f65a723000000446e553f650000000000000000000000000000000000000000000000000000000005f5e100000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6cb6afdc84e8949ddf49ab00b5b351a5b0f65a723000000047e1c0c09cb6afdc84e8949ddf49ab00b5b351a5b0f65a723000000646f1a366d000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a60000000000000000000000000000000000000000000000000000000005f5e1000000000000000000000000000000000000000000000000000000b72c986fee1ccb6afdc84e8949ddf49ab00b5b351a5b0f65a7230000004400f714ce0000000000000000000000000000000000000000000000056bbf2e57c9166fdc000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6dac17f958d2ee523a2206206994597c13d831ec700000044a9059cbb0000000000000000000000000d4a11d5eeaac28ec3f61d100daf4d40471f1852000000000000000000000000000000000000000000000000000000000bf4f19000000000000000000000000000000000000001ac,,-1,2_1,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
