address_from,address_to,block_number,gas,gas_used,input,output,timestamp,trace_id,trace_type,transaction_hash,value
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x3a84ad5d16adbe566baa6b3dafe39db3d5e261e5,13846504,137047,2344,0x18160ddd,0x00000000000000000000000000000000000000000007726757cb80f950c4300f,-1,1_0,STATICCALL,0xcf762a8f4502cbeb4ab79626cc5a7c65c6dde5b487c8fa9b58f421e10e4807e8,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0xf938424f7210f31df2aee3011291b658f872e91e,13846504,129776,2519,0x70a08231000000000000000000000000c9f27a50f82571c1c8423a42970613b8dbda14ef,0x00000000000000000000000000000000000000000007a0c86278ae473ed30ce7,-1,1_1,STATICCALL,0xcf762a8f4502cbeb4ab79626cc5a7c65c6dde5b487c8fa9b58f421e10e4807e8,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0xf938424f7210f31df2aee3011291b658f872e91e,13846504,125832,28178,0xa9059cbb00000000000000000000000026eccf0498462fea34ba8713d66e953395d93e85000000000000000000000000000000000000000000000071069bc30c5b7dc149,0x0000000000000000000000000000000000000000000000000000000000000001,-1,1_2,CALL,0xcf762a8f4502cbeb4ab79626cc5a7c65c6dde5b487c8fa9b58f421e10e4807e8,0
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0xb8c6d9e2e4376d894f27b5d9e89215e7043b11a1,13846504,94877,15111,0x8da5cb5b,0x00000000000000000000000026eccf0498462fea34ba8713d66e953395d93e85,-1,1_3,CALL,0xcf762a8f4502cbeb4ab79626cc5a7c65c6dde5b487c8fa9b58f421e10e4807e8,0
0xb8c6d9e2e4376d894f27b5d9e89215e7043b11a1,0x8daed2da38f4a4eb0c46f2e0e6811f63b7c7752c,13846504,90806,12445,0x8da5cb5b,0x00000000000000000000000026eccf0498462fea34ba8713d66e953395d93e85,-1,2_0,DELEGATECALL,0xcf762a8f4502cbeb4ab79626cc5a7c65c6dde5b487c8fa9b58f421e10e4807e8,0
0xb8c6d9e2e4376d894f27b5d9e89215e7043b11a1,0xae03233307865623aaef76da9ade669b86e6f20a,13846504,84261,7037,0x6352211e000000000000000000000000b8c6d9e2e4376d894f27b5d9e89215e7043b11a1,0x00000000000000000000000026eccf0498462fea34ba8713d66e953395d93e85,-1,3_0,STATICCALL,0xcf762a8f4502cbeb4ab79626cc5a7c65c6dde5b487c8fa9b58f421e10e4807e8,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x3a84ad5d16adbe566baa6b3dafe39db3d5e261e5,13846504,79416,24759,0x9dc29fac000000000000000000000000b8c6d9e2e4376d894f27b5d9e89215e7043b11a100000000000000000000000000000000000000000000006e576786c489624bb7,,-1,1_4,CALL,0xcf762a8f4502cbeb4ab79626cc5a7c65c6dde5b487c8fa9b58f421e10e4807e8,0
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x3a84ad5d16adbe566baa6b3dafe39db3d5e261e5,13848431,111798,2344,0x18160ddd,0x0000000000000000000000000000000000000000000771f90063fa34c761e458,-1,1_0,STATICCALL,0x24e276cfc0cbd280a71da775ae35da39a107b97f819a3b2cd7cb40e9cc3afb82,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0xf938424f7210f31df2aee3011291b658f872e91e,13848431,104526,2519,0x70a08231000000000000000000000000c9f27a50f82571c1c8423a42970613b8dbda14ef,0x00000000000000000000000000000000000000000007a0575bdceb3ae3554b9e,-1,1_1,STATICCALL,0x24e276cfc0cbd280a71da775ae35da39a107b97f819a3b2cd7cb40e9cc3afb82,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0xf938424f7210f31df2aee3011291b658f872e91e,13848431,100583,11078,0xa9059cbb00000000000000000000000057e648f095dc7d8b26e97dfd1d03be8d7fbfbf7100000000000000000000000000000000000000000000001982c704d7dbc6056b,0x0000000000000000000000000000000000000000000000000000000000000001,-1,1_2,CALL,0x24e276cfc0cbd280a71da775ae35da39a107b97f819a3b2cd7cb40e9cc3afb82,0
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x0789e77c19cf95faf2adf17502a817fcd33517f7,13848431,86460,15111,0x8da5cb5b,0x00000000000000000000000057e648f095dc7d8b26e97dfd1d03be8d7fbfbf71,-1,1_3,CALL,0x24e276cfc0cbd280a71da775ae35da39a107b97f819a3b2cd7cb40e9cc3afb82,0
0x0789e77c19cf95faf2adf17502a817fcd33517f7,0xe2696f3dda0c4bb8b53da3951d6acb005094502d,13848431,82521,12445,0x8da5cb5b,0x00000000000000000000000057e648f095dc7d8b26e97dfd1d03be8d7fbfbf71,-1,2_0,DELEGATECALL,0x24e276cfc0cbd280a71da775ae35da39a107b97f819a3b2cd7cb40e9cc3afb82,0
0x0789e77c19cf95faf2adf17502a817fcd33517f7,0xae03233307865623aaef76da9ade669b86e6f20a,13848431,76105,7037,0x6352211e0000000000000000000000000789e77c19cf95faf2adf17502a817fcd33517f7,0x00000000000000000000000057e648f095dc7d8b26e97dfd1d03be8d7fbfbf71,-1,3_0,STATICCALL,0x24e276cfc0cbd280a71da775ae35da39a107b97f819a3b2cd7cb40e9cc3afb82,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x3a84ad5d16adbe566baa6b3dafe39db3d5e261e5,13848431,71000,24759,0x9dc29fac0000000000000000000000000789e77c19cf95faf2adf17502a817fcd33517f7000000000000000000000000000000000000000000000018e7ab7b7857d6963b,,-1,1_4,CALL,0x24e276cfc0cbd280a71da775ae35da39a107b97f819a3b2cd7cb40e9cc3afb82,0
0x10c509aa9ab291c76c45414e7cdbd375e1d5ace8,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,13849007,9815761,161543,0x2e2d298400000000000000000000000000000000000000000052b7d2dcc80cd2e400000000000000000000000000000010c509aa9ab291c76c45414e7cdbd375e1d5ace80000000000000000000000008efab89b497b887cdaa2fb08ff71e4b3827774b2,0x00000000000000000000000000000000000000000050c0e4867acf6a7c636e69,-1,1_0,CALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,0
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x3a84ad5d16adbe566baa6b3dafe39db3d5e261e5,13849007,9657040,2344,0x18160ddd,0x0000000000000000000000000000000000000000000771e018b87ebc6f8b4e1d,-1,2_0,STATICCALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0xf938424f7210f31df2aee3011291b658f872e91e,13849007,9649768,2519,0x70a08231000000000000000000000000c9f27a50f82571c1c8423a42970613b8dbda14ef,0x00000000000000000000000000000000000000000007a03dd915e663078f4633,-1,2_1,STATICCALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x3a84ad5d16adbe566baa6b3dafe39db3d5e261e5,13849007,9646756,344,0x18160ddd,0x0000000000000000000000000000000000000000000771e018b87ebc6f8b4e1d,-1,2_2,STATICCALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x10c509aa9ab291c76c45414e7cdbd375e1d5ace8,13849007,9645648,2377,0x8da5cb5b,0x00000000000000000000000010c509aa9ab291c76c45414e7cdbd375e1d5ace8,-1,2_3,CALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,0
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x10c509aa9ab291c76c45414e7cdbd375e1d5ace8,13849007,9642707,135862,0x2e88fb97000000000000000000000000f938424f7210f31df2aee3011291b658f872e91e000000000000000000000000c9f27a50f82571c1c8423a42970613b8dbda14ef00000000000000000000000000000000000000000052b7d2dcc80cd2e4000000,,-1,2_4,CALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,0
0x10c509aa9ab291c76c45414e7cdbd375e1d5ace8,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,13849007,9469131,112452,0x2e2d298400000000000000000000000000000000000000000052b7d2dcc80cd2e400000000000000000000000000000010c509aa9ab291c76c45414e7cdbd375e1d5ace80000000000000000000000008efab89b497b887cdaa2fb08ff71e4b3827774b2,0x00000000000000000000000000000000000000000050c0e4867acf6a7c636e69,-1,3_0,CALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,0
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x3a84ad5d16adbe566baa6b3dafe39db3d5e261e5,13849007,9320256,344,0x18160ddd,0x0000000000000000000000000000000000000000000771e018b87ebc6f8b4e1d,-1,4_0,STATICCALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0xf938424f7210f31df2aee3011291b658f872e91e,13849007,9319382,519,0x70a08231000000000000000000000000c9f27a50f82571c1c8423a42970613b8dbda14ef,0x00000000000000000000000000000000000000000007a03dd915e663078f4633,-1,4_1,STATICCALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x3a84ad5d16adbe566baa6b3dafe39db3d5e261e5,13849007,9318339,344,0x18160ddd,0x0000000000000000000000000000000000000000000771e018b87ebc6f8b4e1d,-1,4_2,STATICCALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,-1
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x10c509aa9ab291c76c45414e7cdbd375e1d5ace8,13849007,9317231,377,0x8da5cb5b,0x00000000000000000000000010c509aa9ab291c76c45414e7cdbd375e1d5ace8,-1,4_3,CALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,0
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x10c509aa9ab291c76c45414e7cdbd375e1d5ace8,13849007,9316258,706,0x2e88fb97000000000000000000000000f938424f7210f31df2aee3011291b658f872e91e000000000000000000000000c9f27a50f82571c1c8423a42970613b8dbda14ef00000000000000000000000000000000000000000052b7d2dcc80cd2e4000000,,-1,4_4,CALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,0
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x3a84ad5d16adbe566baa6b3dafe39db3d5e261e5,13849007,9315043,106127,0x40c10f190000000000000000000000008efab89b497b887cdaa2fb08ff71e4b3827774b200000000000000000000000000000000000000000050c0e4867acf6a7c636e69,,-1,4_5,CALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,0
0xc9f27a50f82571c1c8423a42970613b8dbda14ef,0x3a84ad5d16adbe566baa6b3dafe39db3d5e261e5,13849007,9508447,5062,0x40c10f190000000000000000000000008efab89b497b887cdaa2fb08ff71e4b3827774b200000000000000000000000000000000000000000050c0e4867acf6a7c636e69,,-1,2_5,CALL,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,0
